Product_ID,Brand,Price,Quantity (L),Consume_Region,Packaging_Type,Water_Type,pH_Level,TDS (ppm),Source,Retailer_Type,Sales_Channel,Temperature_Storage (°C),Consumer_Age_Group,Annual_Sales
PW1042,Aquafina,3.14,0.62,North America,Can,Sparkling,7.42,443,Filtered,Online,Online,10.2,Adults,32061
PW1043,Voss,1.87,1.87,Asia,Box,Mineral,7.04,277,Municipal,Online,Offline,23.7,Children,24841
PW1044,Perrier,2.82,1.47,Africa,Can,Distilled,7.93,148,Rainwater,Wholesale,Online,10.4,Elderly,7680
PW1045,Nestle Pure Life,1.94,1.06,South America,Pouch,Purified,8.81,313,Rainwater,Wholesale,Offline,15.1,Teenagers,19705
PW1046,Nestle Pure Life,3.64,0.22,North America,Bottle,Purified,7.93,148,Rainwater,Pharmacy,Online,12.3,Children,3668
PW1047,Nestle Pure Life,1.57,0.45,Africa,Box,Mineral,6.47,166,Filtered,Wholesale,Online,16.2,Elderly,15903
PW1048,Evian,2.49,1.01,Australia,Can,Spring,8.91,368,Filtered,Convenience Store,Online,12.3,Children,10042
PW1049,Nestle Pure Life,2.48,1.42,South America,Pouch,Mineral,7.79,480,Filtered,Convenience Store,Online,24.7,Children,6999
PW1050,Nestle Pure Life,2.62,0.87,Europe,Can,Distilled,7.81,94,Natural Spring,Convenience Store,Offline,6.1,Teenagers,33887
PW1051,Evian,3.27,1.36,North America,Bottle,Spring,7.04,355,Rainwater,Pharmacy,Offline,22.4,Children,30185
PW1052,San Pellegrino,3.91,1.89,Asia,Box,Distilled,7.18,180,Municipal,Wholesale,Offline,16.7,Children,7107
PW1053,Dasani,2.68,1.88,North America,Box,Purified,8.56,399,Rainwater,Supermarket,Online,11.2,Elderly,19655
PW1054,Nestle Pure Life,1.71,1.03,South America,Bottle,Spring,7.77,151,Well,Online,Offline,6.8,Elderly,32369
PW1055,San Pellegrino,3.54,0.28,Asia,Can,Sparkling,7.37,144,Rainwater,Supermarket,Online,24.5,Teenagers,5255
PW1056,Smartwater,2.43,0.63,Africa,Box,Alkaline,6.81,260,Municipal,Convenience Store,Online,19.5,Children,37706
PW1057,Dasani,1.25,1.98,Australia,Can,Mineral,7.46,223,Filtered,Pharmacy,Online,11.9,Adults,12743
PW1058,Fiji,1.62,1.55,North America,Bottle,Distilled,7.03,193,Rainwater,Pharmacy,Online,21.5,Children,7880
PW1059,Dasani,2.57,0.79,Australia,Bottle,Distilled,7.01,173,Well,Convenience Store,Online,11.5,Adults,37826
PW1060,Fiji,1.56,1.28,Africa,Bottle,Spring,6.6,204,Natural Spring,Convenience Store,Offline,6.5,Children,14086
PW1061,Smartwater,1.01,1.8,North America,Bottle,Purified,6.75,125,Municipal,Online,Online,19,Elderly,2739
PW1062,Smartwater,2.21,1.38,North America,Pouch,Spring,6.63,129,Well,Wholesale,Online,24.3,Children,4939
PW1063,Dasani,3.67,0.39,Australia,Bottle,Spring,8.94,81,Natural Spring,Convenience Store,Online,23.4,Children,25402
PW1064,San Pellegrino,2.37,1.66,Africa,Bottle,Spring,6.92,89,Municipal,Wholesale,Offline,9.1,Children,15625
PW1065,Evian,2.08,1.54,Australia,Bottle,Alkaline,6.2,114,Municipal,Wholesale,Offline,9.1,Adults,6212
PW1066,Dasani,1.05,1.68,South America,Box,Alkaline,7.99,152,Filtered,Wholesale,Offline,16.1,Adults,30831
PW1067,Dasani,4.57,1.88,South America,Pouch,Distilled,6.58,439,Municipal,Pharmacy,Online,17.6,Children,36287
PW1068,Fiji,4.03,1.97,South America,Box,Distilled,7.05,289,Filtered,Supermarket,Online,21.5,Teenagers,18712
PW1069,Aquafina,3.64,1.76,North America,Can,Alkaline,7.54,318,Well,Supermarket,Online,8,Elderly,5145
PW1070,Aquafina,0.69,0.65,North America,Bottle,Spring,7.63,388,Natural Spring,Supermarket,Offline,9.7,Elderly,48283
PW1071,Perrier,4.03,1.53,Australia,Box,Purified,7.25,97,Natural Spring,Supermarket,Offline,23.6,Adults,19024
PW1072,Smartwater,1.83,1.69,South America,Bottle,Mineral,8.32,439,Rainwater,Wholesale,Online,16.6,Adults,37638
PW1073,Voss,2.93,1.16,South America,Bottle,Mineral,8.11,238,Municipal,Supermarket,Offline,21.6,Teenagers,24160
PW1074,Smartwater,4.12,0.26,Europe,Box,Purified,6.02,133,Filtered,Wholesale,Online,18.9,Children,28155
PW1075,Evian,2.43,1.28,Asia,Pouch,Alkaline,7.7,446,Rainwater,Online,Offline,9.7,Adults,17224
PW1076,Fiji,3.33,0.48,Europe,Box,Mineral,8.08,100,Municipal,Wholesale,Online,17.5,Teenagers,1895
PW1077,Evian,3.16,1.73,Asia,Bottle,Distilled,6.68,207,Filtered,Convenience Store,Offline,10.1,Elderly,39803
PW1078,Fiji,2.16,0.98,South America,Pouch,Mineral,8.73,297,Municipal,Online,Offline,17.3,Teenagers,2348
PW1079,Dasani,1.37,0.78,Australia,Box,Mineral,6.98,51,Municipal,Convenience Store,Offline,10.5,Teenagers,9356
PW1080,Smartwater,2.49,1.01,North America,Can,Purified,6.68,343,Well,Wholesale,Online,11.5,Children,17346
PW1081,Dasani,4.49,1.51,Africa,Pouch,Purified,7.05,272,Filtered,Wholesale,Online,19.9,Adults,31086
PW1082,Voss,1.69,0.64,Asia,Box,Distilled,6.15,228,Natural Spring,Online,Offline,11.7,Teenagers,37150
PW1083,Evian,2.14,0.87,Australia,Pouch,Alkaline,8.98,257,Natural Spring,Online,Online,19,Children,17668
PW1084,Perrier,1.58,0.42,North America,Can,Spring,7.23,299,Natural Spring,Pharmacy,Offline,5.9,Teenagers,9917
PW1085,Nestle Pure Life,3.52,1.41,North America,Bottle,Sparkling,7.51,316,Rainwater,Wholesale,Online,21,Elderly,40533
PW1086,Voss,4.3,1.27,North America,Box,Spring,7.34,151,Rainwater,Wholesale,Online,5.7,Teenagers,49438
PW1087,Smartwater,2.83,0.69,Europe,Bottle,Sparkling,7.12,224,Well,Supermarket,Online,4.8,Adults,18347
PW1088,Evian,2.77,0.52,South America,Box,Spring,8.34,298,Municipal,Pharmacy,Offline,24.3,Adults,40889
PW1089,Perrier,0.69,1.82,South America,Bottle,Alkaline,7.85,411,Natural Spring,Convenience Store,Offline,4.2,Children,26969
PW1090,Perrier,4.98,1.61,South America,Box,Alkaline,7.53,433,Well,Pharmacy,Offline,18.9,Teenagers,30244
PW1091,Evian,1.24,1.45,South America,Can,Purified,7.78,186,Natural Spring,Wholesale,Offline,10,Adults,15642
PW1092,Voss,3.84,1.62,Africa,Box,Mineral,6.11,220,Well,Wholesale,Offline,9,Children,27827
PW1093,Evian,3.54,0.49,Australia,Box,Mineral,8.33,240,Well,Supermarket,Offline,19,Adults,13952
PW1094,Nestle Pure Life,2.37,1.85,Asia,Box,Mineral,6.96,138,Natural Spring,Online,Online,13.3,Elderly,7708
PW1095,Voss,0.88,0.65,Europe,Pouch,Purified,8.29,53,Rainwater,Wholesale,Online,12.3,Elderly,23188
PW1096,Fiji,2.83,0.58,Asia,Can,Sparkling,8.33,455,Filtered,Supermarket,Online,22.7,Elderly,14501
PW1097,Nestle Pure Life,2.97,1.43,South America,Bottle,Spring,8.83,249,Well,Convenience Store,Online,13.4,Teenagers,20265
PW1098,Voss,1.37,1.44,Australia,Box,Alkaline,8.36,358,Municipal,Supermarket,Online,12.1,Children,19067
PW1099,Nestle Pure Life,1.84,1.98,South America,Box,Purified,6.17,445,Rainwater,Wholesale,Offline,11.6,Children,8515
PW1100,Fiji,2.43,1.19,North America,Pouch,Spring,7.65,161,Municipal,Convenience Store,Online,15,Children,9394
PW1101,Perrier,4.43,1.53,Australia,Pouch,Distilled,6.61,82,Natural Spring,Pharmacy,Offline,12.1,Teenagers,21920
PW1102,Nestle Pure Life,1.96,1.81,South America,Pouch,Sparkling,8.55,489,Municipal,Supermarket,Online,13.3,Children,31633
PW1103,Perrier,3.52,0.97,North America,Can,Purified,8.39,412,Municipal,Supermarket,Offline,14.1,Elderly,46954
PW1104,Nestle Pure Life,2.48,1.74,Africa,Pouch,Distilled,6.18,213,Filtered,Wholesale,Online,4.2,Children,27811
PW1105,Fiji,0.75,1.15,South America,Bottle,Sparkling,8.97,166,Municipal,Supermarket,Online,19.7,Adults,41758
PW1106,Fiji,4.75,0.65,Australia,Bottle,Sparkling,7.26,247,Well,Wholesale,Online,11.6,Adults,12691
PW1107,San Pellegrino,4.18,1.13,Asia,Can,Mineral,7.08,307,Municipal,Supermarket,Offline,24.1,Children,5494
PW1108,Aquafina,4.24,1.48,Asia,Can,Spring,6.14,447,Municipal,Supermarket,Offline,14.7,Elderly,46450
PW1109,Dasani,2.39,1.83,Asia,Can,Alkaline,8.68,263,Well,Convenience Store,Offline,4.9,Elderly,48468
PW1110,San Pellegrino,0.75,1.85,Asia,Can,Spring,6.65,222,Municipal,Wholesale,Online,17.4,Adults,44891
PW1111,Voss,1.86,1.88,Australia,Can,Alkaline,7.88,148,Filtered,Online,Online,14.1,Elderly,35928
PW1112,Smartwater,2.59,1.75,Australia,Can,Purified,6.15,461,Natural Spring,Wholesale,Online,22.1,Adults,4655
PW1113,Voss,4.68,0.87,North America,Box,Distilled,6.09,350,Well,Wholesale,Offline,11.7,Elderly,42555
PW1114,Perrier,2.85,1.75,Africa,Pouch,Distilled,7.37,125,Natural Spring,Supermarket,Offline,22.5,Elderly,12176
PW1115,Smartwater,3.06,1.97,North America,Can,Spring,8.56,339,Filtered,Supermarket,Online,21,Elderly,34648
PW1116,San Pellegrino,2.39,1.22,South America,Box,Distilled,6.38,152,Natural Spring,Pharmacy,Offline,9.1,Elderly,22403
PW1117,Fiji,0.91,0.4,North America,Can,Sparkling,7.32,343,Filtered,Online,Offline,19.1,Children,12909
PW1118,Smartwater,4.91,1.41,North America,Can,Distilled,6.8,466,Rainwater,Pharmacy,Offline,12.5,Teenagers,3242
PW1119,Voss,2.39,0.68,Africa,Bottle,Mineral,8.74,70,Natural Spring,Supermarket,Offline,18.3,Elderly,42112
PW1120,Nestle Pure Life,0.98,1.14,North America,Box,Distilled,7.11,251,Municipal,Pharmacy,Offline,20.7,Children,30050
PW1121,Fiji,2.63,1.42,Australia,Box,Spring,8.13,442,Rainwater,Convenience Store,Online,16.3,Adults,13719
PW1122,Aquafina,0.9,1.42,Asia,Box,Sparkling,8.39,312,Municipal,Wholesale,Online,17.5,Teenagers,38498
PW1123,Dasani,2.12,0.46,Australia,Pouch,Mineral,8.23,62,Well,Online,Offline,15.4,Elderly,3669
PW1124,Dasani,4.11,1.92,North America,Pouch,Alkaline,7.75,494,Filtered,Supermarket,Offline,17.9,Adults,13381
PW1125,San Pellegrino,3.48,1.2,South America,Pouch,Spring,9,351,Municipal,Convenience Store,Offline,23.1,Adults,11551
PW1126,Perrier,2.06,1.03,South America,Can,Alkaline,6.17,391,Municipal,Supermarket,Online,17.4,Adults,17259
PW1127,Smartwater,2.17,0.3,South America,Can,Purified,6.56,260,Municipal,Pharmacy,Offline,5.4,Children,28446
PW1128,Voss,1.81,0.53,Europe,Pouch,Spring,6.33,105,Municipal,Online,Offline,7.2,Adults,1249
PW1129,Nestle Pure Life,4.89,1.03,Europe,Can,Mineral,8.15,134,Filtered,Supermarket,Offline,22,Adults,48503
PW1130,Aquafina,2.29,1.5,South America,Bottle,Spring,6.11,322,Rainwater,Online,Online,11.5,Teenagers,26181
PW1131,Nestle Pure Life,3.76,0.24,North America,Can,Alkaline,8.2,327,Municipal,Supermarket,Online,16.3,Elderly,22395
PW1132,Smartwater,1.08,1.99,Europe,Box,Spring,8.71,151,Municipal,Wholesale,Offline,23.2,Elderly,28618
PW1133,Dasani,2.3,1.62,Europe,Bottle,Sparkling,6.1,396,Filtered,Wholesale,Online,6.9,Children,3627
PW1134,Voss,1.56,1.9,South America,Pouch,Alkaline,6.95,165,Filtered,Pharmacy,Offline,4.8,Elderly,37624
PW1135,Smartwater,3.79,0.26,South America,Pouch,Alkaline,8.94,207,Municipal,Wholesale,Online,7,Teenagers,6195
PW1136,Evian,4.84,0.37,Europe,Bottle,Mineral,6.88,323,Rainwater,Wholesale,Online,11.4,Adults,47756
PW1137,Nestle Pure Life,1.63,1.89,North America,Can,Distilled,6.81,227,Natural Spring,Pharmacy,Offline,9.9,Adults,21105
PW1138,San Pellegrino,4.79,1.65,Asia,Box,Spring,8.08,433,Natural Spring,Pharmacy,Offline,19.8,Children,44023
PW1139,Nestle Pure Life,3.17,0.3,South America,Box,Mineral,8.91,483,Municipal,Convenience Store,Offline,22.4,Adults,1813
PW1140,Fiji,1.15,0.64,North America,Box,Sparkling,6.91,423,Rainwater,Pharmacy,Online,20.4,Children,30456
PW1141,Nestle Pure Life,4.06,0.68,North America,Bottle,Spring,8.1,263,Natural Spring,Online,Online,16.3,Children,46746
PW1142,Evian,2.41,0.3,Asia,Bottle,Sparkling,6.95,191,Natural Spring,Supermarket,Online,7.7,Teenagers,6455
PW1143,Fiji,1.44,1.12,North America,Bottle,Purified,8.12,380,Municipal,Wholesale,Offline,7.7,Adults,40874
PW1144,Aquafina,3.81,0.3,Asia,Bottle,Purified,7.87,429,Well,Online,Online,16.5,Adults,8230
PW1145,Nestle Pure Life,1.71,0.24,Australia,Bottle,Spring,7.04,57,Natural Spring,Wholesale,Online,10.8,Teenagers,32373
PW1146,Smartwater,1.11,1.98,Asia,Pouch,Mineral,7.1,391,Rainwater,Supermarket,Online,9,Adults,48667
PW1147,Dasani,4.03,1.63,Australia,Box,Mineral,6.62,236,Well,Wholesale,Online,7.6,Elderly,23195
PW1148,Fiji,2.6,1.28,Africa,Pouch,Alkaline,8.15,161,Natural Spring,Supermarket,Online,4.3,Teenagers,48301
PW1149,Voss,4.49,1.13,Asia,Can,Sparkling,8.04,199,Natural Spring,Wholesale,Offline,16.2,Elderly,19673
PW1150,Dasani,4.65,1.2,Europe,Bottle,Alkaline,6.93,338,Rainwater,Online,Offline,9.4,Adults,43815
PW1151,Evian,3.82,1.34,Asia,Can,Distilled,7.53,110,Municipal,Online,Online,16,Teenagers,8025
PW1152,Dasani,3.31,1.24,Asia,Can,Sparkling,7.49,463,Rainwater,Pharmacy,Offline,11,Children,30598
PW1153,Nestle Pure Life,2.16,0.94,North America,Pouch,Distilled,8.44,314,Well,Supermarket,Online,18.3,Elderly,20246
PW1154,Evian,2.42,1.49,Africa,Box,Purified,8.99,150,Rainwater,Convenience Store,Online,5,Children,38931
PW1155,Fiji,3.98,0.53,North America,Bottle,Spring,7.34,330,Municipal,Supermarket,Offline,13,Adults,47302
PW1156,Nestle Pure Life,4.07,1.7,Africa,Box,Purified,8.91,199,Rainwater,Convenience Store,Offline,10.3,Teenagers,16695
PW1157,Aquafina,2.82,0.63,South America,Box,Mineral,7.67,254,Well,Online,Offline,19.2,Teenagers,27964
PW1158,Aquafina,0.99,0.91,Africa,Pouch,Sparkling,6.77,348,Well,Wholesale,Online,14.3,Children,7935
PW1159,Perrier,3.31,1.78,Australia,Box,Spring,6.22,203,Well,Online,Online,7,Teenagers,37199
PW1160,Perrier,4.15,1.22,South America,Box,Distilled,8.59,187,Filtered,Wholesale,Online,20.1,Children,29767
PW1161,Aquafina,3.35,1.09,North America,Pouch,Distilled,8.07,60,Well,Pharmacy,Offline,7.1,Teenagers,28634
PW1162,Nestle Pure Life,1.95,1.7,Europe,Pouch,Spring,7.36,366,Rainwater,Supermarket,Online,13.2,Adults,28200
PW1163,Perrier,4.67,1.91,Africa,Bottle,Alkaline,7.24,232,Natural Spring,Pharmacy,Online,9.7,Adults,26086
PW1164,San Pellegrino,2.82,1.63,North America,Can,Alkaline,6.44,189,Well,Convenience Store,Offline,11.3,Elderly,11882
PW1165,San Pellegrino,0.52,0.94,South America,Box,Spring,6.83,149,Filtered,Supermarket,Online,8.2,Children,44113
PW1166,Evian,3.06,1.79,Europe,Box,Mineral,8.44,244,Municipal,Supermarket,Offline,23.8,Elderly,18365
PW1167,Nestle Pure Life,1.18,0.49,Africa,Box,Sparkling,8.45,232,Filtered,Supermarket,Offline,19.2,Children,32859
PW1168,Evian,3.1,0.28,North America,Box,Distilled,6.35,307,Natural Spring,Online,Online,19.2,Children,42350
PW1169,Dasani,3.89,0.97,North America,Box,Alkaline,6.72,145,Well,Supermarket,Offline,17.6,Adults,43160
PW1170,Evian,2.8,0.25,Australia,Box,Distilled,6.59,94,Filtered,Supermarket,Offline,20.7,Elderly,38867
PW1171,Dasani,4.53,0.97,South America,Box,Mineral,7.14,103,Natural Spring,Convenience Store,Online,24.6,Adults,14122
PW1172,Voss,3.65,1.41,North America,Can,Alkaline,8.59,172,Filtered,Convenience Store,Online,19.2,Adults,10704
PW1173,Smartwater,4.12,1.1,Europe,Bottle,Spring,7.84,77,Filtered,Convenience Store,Offline,7.1,Children,27091
PW1174,Nestle Pure Life,4.3,0.73,South America,Can,Purified,6.73,438,Natural Spring,Supermarket,Offline,22.2,Elderly,34999
PW1175,Voss,1.8,1.84,Australia,Box,Distilled,8.13,374,Natural Spring,Supermarket,Online,7.2,Adults,44273
PW1176,Evian,4.86,0.63,Africa,Bottle,Alkaline,6.42,281,Filtered,Online,Offline,12.4,Elderly,49521
PW1177,Dasani,4.22,1.57,South America,Pouch,Purified,7.05,55,Rainwater,Online,Offline,24.5,Children,17895
PW1178,Nestle Pure Life,0.89,1.61,South America,Can,Sparkling,7.04,130,Well,Supermarket,Offline,19.9,Children,30401
PW1179,Fiji,3.76,1.69,North America,Box,Mineral,7.28,74,Filtered,Pharmacy,Offline,20.6,Adults,17327
PW1180,Evian,1.54,1.66,Europe,Bottle,Alkaline,7.73,385,Rainwater,Online,Offline,22.8,Teenagers,49461
PW1181,Dasani,4.74,0.26,Europe,Box,Spring,6.26,145,Municipal,Pharmacy,Online,16.5,Adults,27975
PW1182,Aquafina,3.84,1.82,Asia,Can,Distilled,8.64,360,Rainwater,Supermarket,Online,23.7,Adults,34765
PW1183,Fiji,0.92,1.74,Australia,Bottle,Purified,8.56,94,Well,Convenience Store,Offline,13.4,Adults,22566
PW1184,Fiji,2.02,1.43,Australia,Pouch,Sparkling,8.77,460,Well,Supermarket,Online,16.9,Teenagers,45815
PW1185,Voss,1.08,1.65,Asia,Box,Spring,7.88,180,Natural Spring,Pharmacy,Online,12.6,Children,40664
PW1186,Aquafina,4.66,1.13,North America,Can,Sparkling,6.63,114,Rainwater,Supermarket,Offline,15.4,Children,25427
PW1187,Evian,2.29,1.96,Africa,Pouch,Spring,7.67,436,Rainwater,Supermarket,Offline,17.2,Elderly,27487
PW1188,Voss,0.65,0.67,Australia,Bottle,Alkaline,7.49,103,Rainwater,Supermarket,Online,10.8,Adults,35852
PW1189,Aquafina,1.97,1.57,Africa,Box,Sparkling,8.25,458,Well,Online,Offline,5.2,Elderly,16405
PW1190,Dasani,3.49,1.47,Europe,Box,Distilled,7.13,303,Natural Spring,Pharmacy,Online,9.7,Children,24197
PW1191,Fiji,4.66,0.71,Australia,Can,Sparkling,8.6,377,Well,Pharmacy,Online,15.7,Teenagers,16517
PW1192,Nestle Pure Life,4.64,0.94,Africa,Box,Distilled,7.95,395,Municipal,Wholesale,Offline,13.4,Teenagers,19321
PW1193,Aquafina,0.61,0.52,Asia,Can,Purified,7.37,389,Rainwater,Online,Offline,7.2,Adults,14979
PW1194,Aquafina,3.19,0.42,Asia,Can,Sparkling,6.08,162,Municipal,Wholesale,Online,18.8,Teenagers,37194
PW1195,Aquafina,4.11,0.39,Europe,Can,Distilled,8.35,293,Natural Spring,Online,Offline,19.2,Children,37258
PW1196,Aquafina,4.57,0.55,South America,Can,Spring,7.36,131,Municipal,Online,Online,24.9,Children,33576
PW1197,Aquafina,1.96,0.29,Africa,Can,Mineral,8.56,132,Well,Online,Online,23.5,Adults,31313
PW1198,Smartwater,1.59,1.43,South America,Box,Purified,8.47,214,Well,Online,Online,9.7,Children,21274
PW1199,Evian,1.71,1.36,Africa,Box,Spring,7.39,251,Municipal,Convenience Store,Online,15,Adults,30969
PW1200,Aquafina,4.6,1.6,Africa,Box,Sparkling,7.21,216,Well,Wholesale,Online,10,Adults,2013
PW1201,Evian,2.9,0.71,Europe,Bottle,Purified,8.81,160,Natural Spring,Convenience Store,Offline,11.7,Children,3159
PW1202,Aquafina,3.24,0.55,Asia,Pouch,Purified,7.06,252,Natural Spring,Convenience Store,Offline,9.6,Adults,14566
PW1203,San Pellegrino,1.06,1.94,Asia,Bottle,Purified,7.07,141,Filtered,Pharmacy,Online,10.5,Adults,30616
PW1204,Aquafina,0.6,1.29,North America,Pouch,Distilled,8.74,240,Well,Supermarket,Offline,8.9,Teenagers,17032
PW1205,Evian,0.51,1.66,Africa,Pouch,Sparkling,8.53,306,Well,Wholesale,Online,10.2,Teenagers,36918
PW1206,Perrier,1.73,1.76,Asia,Can,Distilled,6.79,289,Rainwater,Pharmacy,Offline,6.9,Adults,21349
PW1207,Dasani,3.62,1.53,Africa,Box,Purified,6.52,408,Rainwater,Online,Online,10.4,Children,12059
PW1208,Voss,1.46,1.64,South America,Box,Mineral,8.83,326,Well,Pharmacy,Online,12.3,Children,19634
PW1209,Fiji,3.24,0.28,North America,Can,Distilled,8.23,494,Natural Spring,Supermarket,Online,8.1,Adults,12738
PW1210,Voss,4.81,1.98,North America,Pouch,Alkaline,6.41,414,Natural Spring,Online,Online,15.8,Adults,18503
PW1211,Evian,3.28,1.23,North America,Bottle,Spring,7.88,97,Rainwater,Pharmacy,Online,22.8,Adults,39596
PW1212,Voss,3.54,1.13,Australia,Pouch,Alkaline,7.89,494,Municipal,Supermarket,Online,4.5,Children,21017
PW1213,San Pellegrino,3.92,0.63,Europe,Bottle,Purified,8.88,392,Rainwater,Online,Online,16.6,Adults,34808
PW1214,Smartwater,2.96,1.9,Australia,Bottle,Mineral,8.03,383,Well,Online,Online,10.7,Adults,42751
PW1215,San Pellegrino,2.29,1.14,Europe,Bottle,Distilled,7.79,411,Rainwater,Supermarket,Online,23.2,Children,25083
PW1216,Nestle Pure Life,2.28,1.06,Africa,Can,Distilled,6.91,354,Well,Pharmacy,Offline,10.5,Children,4608
PW1217,Nestle Pure Life,3.34,0.46,Africa,Can,Distilled,7.02,240,Natural Spring,Pharmacy,Offline,24.6,Teenagers,48511
PW1218,Nestle Pure Life,3.23,0.79,Africa,Can,Mineral,8.47,315,Filtered,Online,Offline,5.1,Adults,21865
